popularity,title,genre
296,Nekomonogatari: Kuro,"['Comedy', 'Supernatural', 'Romance', 'Ecchi']"
2506,Macross: Do You Remember Love?,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Music', 'Sci-Fi']"
9257,Luo Xiao Hei Zhan Ji (Movie),"['Drama', 'Supernatural']"
644,Karigurashi no Arrietty,['Fantasy']
348,Kami nomi zo Shiru Sekai II,"['Comedy', 'Harem', 'Romance', 'Shounen', 'Supernatural']"
378,Hibike! Euphonium,"['Music', 'School', 'Drama']"
552,Darker than Black: Kuro no Keiyakusha Gaiden,"['Action', 'Mystery', 'Sci-Fi', 'Super Power']"
888,Eyeshield 21,"['Action', 'Sports', 'Comedy', 'Shounen']"
450,Azumanga Daioh,"['Slice of Life', 'Comedy', 'School']"
1816,Usagi Drop Specials,"['Josei', 'Slice of Life']"
1440,Tekkon Kinkreet,"['Action', 'Adventure', 'Psychological', 'Supernatural']"
239,Ore Monogatari!!,"['Comedy', 'Romance', 'Shoujo']"
